"STATION","NAME","DATE","HLY-DEWP-NORMAL","HLY-TEMP-NORMAL"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T01:00:00","15.1","22.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T02:00:00","14.9","21.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T03:00:00","14.8","21.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T04:00:00","14.6","21.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T05:00:00","14.4","20.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T06:00:00","14.1","20.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T07:00:00","13.8","19.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T08:00:00","13.9","20.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T09:00:00","14.9","22.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T10:00:00","15.7","24.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T11:00:00","16.1","26.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T12:00:00","16.5","28.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T13:00:00","16.6","29.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T14:00:00","16.6","30.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T15:00:00","16.5","30.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T16:00:00","16.4","29.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T17:00:00","16.1","27.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T18:00:00","16.2","26.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T19:00:00","16.0","25.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T20:00:00","15.7","24.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T21:00:00","15.4","23.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T22:00:00","15.1","23.0"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-01T23:00:00","14.9","22.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T00:00:00","13.5","21.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T01:00:00","14.4","21.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T02:00:00","14.3","21.1"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T03:00:00","14.3","20.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T04:00:00","14.2","20.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T05:00:00","14.0","20.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T06:00:00","13.7","19.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T07:00:00","13.4","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T08:00:00","13.5","19.7"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T09:00:00","14.4","21.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T10:00:00","15.3","24.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T11:00:00","15.8","26.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T12:00:00","16.2","28.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T13:00:00","16.3","29.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T14:00:00","16.3","30.2"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T15:00:00","16.3","30.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T16:00:00","16.2","29.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T17:00:00","16.0","27.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T18:00:00","15.9","26.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T19:00:00","15.8","25.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T20:00:00","15.5","24.4"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T21:00:00","15.2","23.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T22:00:00","14.9","22.8"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-02T23:00:00","14.7","22.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T00:00:00","13.4","20.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T01:00:00","14.2","21.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T02:00:00","14.2","20.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T03:00:00","14.0","20.6"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T04:00:00","13.9","20.3"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T05:00:00","13.8","19.9"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T06:00:00","13.5","19.5"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","01-03T07:00:00","13.2","19.3"
